KSCM	CSSD	TOP	KDU	Pirati	ANO	ODS	SZ	Svob	Usvit	Ostatni	Nevolici	mimo_byty	verici	vek_prumer	vdani	vzdelani_zakladni	vzdelani_stredni	vzdelani_maturita	vzdelani_vysoka	prac_studenti	nikdy_nezamestnani	studenti	nezamestnani	zamestnani	podnikatele	osvc
5	13	16	1	2	20	5	2	0	2	10	283	0	10.674	40.855	39.607	0.843	40.73	17.697	2.247	0.562	0.562	12.64	4.494	82.609	1.449	15.942
14	22	47	7	12	39	25	7	4	3	12	988	0	7.056	39.983	46.472	0.081	29.521	23.033	8.678	0.406	0.406	13.22	3.082	82.648	2.326	15.027
0	0	2	3	0	3	3	0	0	0	4	46	8	34	45.235	46	0	36	14	4	2	0	10	6	73.684	5.263	21.053
6	8	16	1	1	28	11	2	3	3	11	656	0.374	8.105	39.632	47.631	0.249	32.793	19.701	5.736	0.499	0.249	14.464	4.115	81.579	2.961	15.461
2	2	5	4	1	10	0	1	0	1	8	126	0	15.646	38.949	41.497	0	35.374	15.646	6.803	0.68	0	12.925	2.041	87.097	3.226	9.677
11	18	8	1	2	15	8	1	3	3	10	618	0.403	6.989	41.868	46.102	0.134	37.097	22.043	4.704	0.538	0.538	14.382	4.167	86.799	0.990	12.211
6	6	10	2	6	17	12	2	1	4	8	299	0	8.934	41.641	49.28	0	33.141	23.343	4.323	0.576	1.441	13.256	4.611	82.432	2.703	14.865
38	27	11	14	14	42	18	4	6	6	17	1060	0.152	7.727	41.896	45.227	0.53	37.652	21.667	4.167	0.53	0.53	13.485	3.333	87.299	1.252	11.449
2	6	0	0	0	2	0	1	0	0	1	145	0	16.201	38.455	41.899	0	34.637	13.966	1.676	0	1.117	11.173	3.911	88.608	1.266	10.127
26	33	32	11	4	30	14	7	8	9	17	1077	0.992	13.282	44.179	46.031	0.153	31.527	24.122	8.321	0.763	0.916	13.282	4.58	81.818	3.220	14.962
20	19	31	4	11	42	15	12	9	5	25	1069	1.699	6.553	42.944	47.735	0.162	32.039	25.647	6.553	0.809	0.485	13.43	3.883	81.907	4.475	13.619
166	160	315	114	92	226	150	69	102	27	116	7047	1.125	10.939	41.286	43.826	0.204	25.673	25.662	11.871	0.625	0.534	13.189	4.135	80.934	3.916	15.150
4	8	5	2	0	16	8	0	3	3	5	317	0	11.905	45.282	48.413	0.529	36.772	17.725	7.143	0.529	0.794	11.376	3.968	88.235	2.941	8.824
31	42	40	4	16	121	38	8	13	13	29	2378	0.389	6.398	42.373	45.528	0.353	34.04	22.305	5.479	0.566	0.848	13.468	4.737	77.834	3.107	19.060
7	7	8	3	1	8	3	0	3	5	4	249	1.974	6.25	40.797	42.434	0.658	32.237	18.421	5.592	0.329	0.329	13.158	4.276	88.333	3.333	8.333
84	81	113	55	32	144	73	42	75	17	84	6861	0.582	7.781	30.475	35.582	0.444	24.093	24.191	8.393	0.473	0.542	14.546	4.793	89.053	1.516	9.432
14	5	3	7	0	4	11	0	0	5	8	235	0	19.305	39.875	47.49	0.772	31.274	20.849	6.564	0	0.386	16.988	2.703	83.036	0.893	16.071
1	0	1	0	0	0	2	0	2	0	0	35	0	33.333	47.186	43.137	0	35.294	13.725	5.882	0	3.922	13.725	9.804	84.615	7.692	7.692
6	2	1	2	0	2	1	0	0	0	7	59	0	20.253	38.69	35.443	0	30.38	22.785	5.063	0	0	8.861	2.532	70.968	3.226	25.806
3	3	2	1	2	10	0	0	3	0	0	106	0.8	8.8	31.46	48	0.8	32.8	22.4	6.4	0	0.8	17.6	1.6	85.714	3.175	11.111
8	9	2	1	3	4	5	3	1	4	4	265	1.223	9.48	40.601	49.847	0.917	39.45	20.183	2.446	0.306	1.223	15.596	5.199	75.630	0.000	24.370
3	4	5	0	0	10	2	0	0	4	3	140	0	12.5	46.566	42.105	0	41.447	16.447	3.289	0	0	11.184	6.579	82.456	0.000	17.544
9	6	9	4	3	11	2	1	3	7	6	371	0.226	12.19	44.128	47.404	0.451	43.341	18.51	6.321	0.451	0.226	11.061	5.418	78.889	2.222	18.889
15	29	17	2	2	35	11	1	5	3	19	720	0.459	12.041	42.633	47.248	0.688	34.289	22.362	3.67	0.459	0.459	13.991	4.128	82.289	3.542	14.169
2	4	2	14	1	0	1	0	4	0	6	87	0	18.75	48.563	41.667	0	27.083	19.792	6.25	0	0	9.375	4.167	81.250	0.000	18.750
11	7	5	7	4	13	5	0	0	0	0	178	0	26.484	40.394	47.945	0.457	34.247	23.288	8.676	0.913	0	13.242	2.74	81.818	5.051	13.131
5	12	5	2	5	11	10	3	5	5	2	420	1.121	14.393	41.03	46.355	0.187	36.636	19.065	5.794	0.561	0.748	15.514	4.112	88.987	0.881	10.132
5	8	12	4	7	17	12	1	4	1	7	411	4.95	6.535	41.057	42.772	0.396	36.832	20.594	6.535	0.99	1.386	10.693	6.139	75.000	2.885	22.115
5	7	25	5	1	37	24	2	11	8	6	521	0.487	10.39	41.245	45.942	0.162	34.578	24.188	6.494	0.649	0.162	12.662	5.682	73.063	4.059	22.878
150	87	86	25	31	108	55	27	37	32	54	3589	0.223	8.756	41.567	45.566	0.156	32.12	24.146	7.639	0.737	0.648	12.464	5.137	83.888	3.275	12.837
10	9	9	2	3	12	3	1	1	1	4	349	0.236	10.875	40.829	47.991	0	37.116	22.459	5.674	0.473	0.946	13.712	5.201	82.353	3.743	13.904
7	13	8	3	1	13	3	0	6	3	11	333	2.469	5.926	41.954	49.877	0	36.049	23.951	3.457	0.247	0.247	12.099	4.444	77.914	3.067	19.018
12	14	7	11	3	15	14	3	1	1	5	449	1.727	15.355	46.521	45.873	0	34.165	23.608	5.758	0.768	0.576	10.557	4.798	80.097	1.456	18.447
195	266	643	136	111	513	262	123	184	72	177	11028	0.375	12.05	42.017	41.739	0.226	23.774	26.937	14.548	0.743	0.729	14.293	4.189	76.284	5.679	18.037
2	0	5	7	3	13	0	0	0	1	0	123	0	33.803	42.549	51.408	0	40.141	18.31	5.634	0.704	0	14.085	3.521	82.258	1.613	16.129
26	24	42	8	12	36	20	7	16	7	29	1122	2.669	7.118	40.061	47.57	0.205	28.268	25.12	9.993	0.479	0.411	11.978	3.97	81.123	2.340	16.537
